,From,To,Capacity,Length,FreeFlowTime,B,Power,SpeedLimit,CriticalSpeed,Lanes
65,65,3232,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
66,66,3340,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
67,67,2753,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
68,68,3339,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
69,69,3360,1800.0,0.1,0.25,0.0,4.0,24,24.0,5
70,70,3341,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
71,71,2533,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
72,72,2763,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
73,73,2590,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
74,74,2113,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
75,75,2111,1800.0,0.46,1.15,0.0,4.0,24,24.0,5
76,76,2179,1800.0,0.56,1.4,0.0,4.0,24,24.0,5
77,77,3330,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
78,78,3411,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
79,79,1339,1800.0,0.47,1.175,0.0,4.0,24,24.0,5
80,79,2750,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
81,80,1345,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
82,81,3434,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
83,82,2771,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
84,83,2117,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
85,84,3401,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
86,85,3400,1800.0,0.55,1.375,0.0,4.0,24,24.0,5
87,86,2754,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
88,87,2444,1800.0,1.09,2.725,0.0,4.0,24,24.0,5
89,88,3007,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
90,89,2752,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
91,90,2199,1800.0,0.1,0.25,0.0,4.0,24,24.0,5
92,91,1988,100.0,1.72,4.3,0.0,4.0,24,24.0,5
93,91,3298,100.0,1.75,4.375,0.0,4.0,24,24.0,5
94,92,2086,1800.0,0.71,1.775,0.0,4.0,24,24.0,5
95,93,3297,1800.0,0.48,1.2,0.0,4.0,24,24.0,5
96,94,2000,1800.0,0.38,0.95,0.0,4.0,24,24.0,5
97,95,2001,1800.0,0.47,1.175,0.0,4.0,24,24.0,5
98,96,2491,1800.0,0.43,1.075,0.0,4.0,24,24.0,5
99,97,1138,1800.0,0.42,1.05,0.0,4.0,24,24.0,5
100,98,3300,1800.0,0.36,0.9,0.0,4.0,24,24.0,5
101,99,1986,1800.0,1.19,2.975,0.0,4.0,24,24.0,5
102,100,2596,1800.0,1.05,2.625,0.0,4.0,24,24.0,5
103,101,3399,1800.0,0.51,1.275,0.0,4.0,24,24.0,5
104,102,3284,1800.0,1.2,3.0,0.0,4.0,24,24.0,5
105,103,2475,1800.0,0.55,1.375,0.0,4.0,24,24.0,5
106,104,3038,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
107,105,3681,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
108,106,3276,1800.0,0.46,1.15,0.0,4.0,24,24.0,5
109,107,3272,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
110,108,3039,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
111,109,3747,1800.0,0.54,1.35,0.0,4.0,24,24.0,5
112,110,3660,1800.0,0.57,1.425,0.0,4.0,24,24.0,5
113,111,2547,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
114,112,2954,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
115,113,3359,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
116,114,3358,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
117,115,2952,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
118,116,3337,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
119,117,2591,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
120,118,2443,1800.0,0.48,1.2,0.0,4.0,24,24.0,5
121,119,3283,100.0,0.82,2.05,0.0,4.0,24,24.0,5
122,119,3436,100.0,1.5,3.75,0.0,4.0,24,24.0,5
123,120,3285,1800.0,0.46,1.15,0.0,4.0,24,24.0,5
124,121,2195,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
125,122,3282,1800.0,0.56,1.4,0.0,4.0,24,24.0,5
126,123,2196,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
127,124,2204,1800.0,0.41,1.025,0.0,4.0,24,24.0,5
128,125,3685,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
129,126,3149,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
130,127,3281,1800.0,0.4,1.0,0.0,4.0,24,24.0,5
131,128,2593,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
132,129,2200,1800.0,0.59,1.475,0.0,4.0,24,24.0,5
133,130,2550,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
134,131,2201,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
135,132,1916,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
136,133,3274,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
137,134,3701,1800.0,0.73,1.825,0.0,4.0,24,24.0,5
138,135,3579,1800.0,0.52,1.3,0.0,4.0,24,24.0,5
139,136,3286,1800.0,1.86,4.65,0.0,4.0,24,24.0,5
140,137,1918,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
141,138,2597,1800.0,0.42,1.05,0.0,4.0,24,24.0,5
142,139,3209,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
143,139,4764,1800.0,0.44,1.1,0.0,4.0,24,24.0,5
144,140,3414,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
145,141,2607,1800.0,0.06,0.15,0.0,4.0,24,24.0,5
146,142,1152,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
147,143,2608,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
148,144,3430,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
149,145,2376,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
150,146,2609,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
151,147,2610,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
152,148,2614,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
153,149,2388,1800.0,0.09,0.225,0.0,4.0,24,24.0,5
154,150,3225,1800.0,0.06,0.15,0.0,4.0,24,24.0,5
155,151,2390,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
156,152,3328,1800.0,0.09,0.225,0.0,4.0,24,24.0,5
157,153,2389,1800.0,0.09,0.225,0.0,4.0,24,24.0,5
158,154,2384,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
159,155,2383,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
160,156,3429,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
161,156,3424,1800.0,0.09,0.225,0.0,4.0,24,24.0,5
162,157,3871,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
163,158,1990,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
164,159,3415,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
165,160,1991,1800.0,0.57,1.425,0.0,4.0,24,24.0,5
166,161,1140,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
167,162,2092,1800.0,0.28,0.7,0.0,4.0,24,24.0,5
168,163,1140,1800.0,0.7,1.75,0.0,4.0,24,24.0,5
169,164,2926,1800.0,0.46,1.15,0.0,4.0,24,24.0,5
170,165,3412,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
171,166,2538,1800.0,0.1,0.25,0.0,4.0,24,24.0,5
172,166,3889,1800.0,0.11,0.275,0.0,4.0,24,24.0,5
173,167,2188,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
174,168,2190,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
175,169,2441,1800.0,0.32,0.8,0.0,4.0,24,24.0,5
176,170,3310,1800.0,0.81,2.025,0.0,4.0,24,24.0,5
177,171,2987,1800.0,0.36,0.9,0.0,4.0,24,24.0,5
178,172,3361,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
179,173,3362,1800.0,0.32,0.8,0.0,4.0,24,24.0,5
180,174,2828,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
181,175,2829,1800.0,0.28,0.7,0.0,4.0,24,24.0,5
182,176,2563,1800.0,0.67,1.675,0.0,4.0,24,24.0,5
183,177,2826,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
184,178,3289,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
185,179,3291,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
186,180,2823,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
187,181,3289,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
188,182,2112,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
189,183,3732,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
190,184,2112,1800.0,0.53,1.325,0.0,4.0,24,24.0,5
191,185,3637,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
192,186,2184,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
193,187,3304,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
194,188,3627,400.0,0.2,0.3,0.667,4.0,40,24.0,1
195,189,3435,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
196,190,2198,1800.0,0.68,1.7,0.0,4.0,24,24.0,5
197,191,3280,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
198,192,2193,1800.0,0.66,1.65,0.0,4.0,24,24.0,5
199,193,2542,1800.0,0.63,1.575,0.0,4.0,24,24.0,5
200,194,2481,1800.0,0.38,0.95,0.0,4.0,24,24.0,5
201,195,3313,1800.0,0.78,1.95,0.0,4.0,24,24.0,5
202,196,3015,1800.0,0.76,1.9,0.0,4.0,24,24.0,5
203,197,2515,1800.0,0.48,1.2,0.0,4.0,24,24.0,5
204,198,1362,1800.0,0.57,1.425,0.0,4.0,24,24.0,5
205,199,3162,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
206,200,1906,1800.0,0.61,1.525,0.0,4.0,24,24.0,5
207,201,3014,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
208,202,2017,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
209,202,2197,1800.0,0.38,0.95,0.0,4.0,24,24.0,5
210,203,1352,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
211,204,4706,1800.0,0.08,0.2,0.0,4.0,24,24.0,5
212,205,2734,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
213,206,3236,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
214,207,2203,1800.0,0.35,0.875,0.0,4.0,24,24.0,5
215,208,3963,1800.0,0.33,0.825,0.0,4.0,24,24.0,5
216,209,1367,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
217,210,1983,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
218,211,3394,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
219,212,3295,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
220,213,2205,1800.0,0.42,1.05,0.0,4.0,24,24.0,5
221,214,3296,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
222,215,3317,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
223,216,3317,1800.0,0.49,1.225,0.0,4.0,24,24.0,5
224,217,2209,1800.0,0.39,0.975,0.0,4.0,24,24.0,5
225,218,3569,1800.0,0.65,1.625,0.0,4.0,24,24.0,5
226,219,3320,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
227,220,3318,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
228,221,2208,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
229,222,3161,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
230,223,2549,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
231,224,2518,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
232,225,3163,1800.0,0.44,1.1,0.0,4.0,24,24.0,5
233,225,3962,1800.0,0.9,2.25,0.0,4.0,24,24.0,5
234,226,3319,1800.0,0.4,1.0,0.0,4.0,24,24.0,5
235,227,1356,1800.0,0.57,1.425,0.0,4.0,24,24.0,5
236,228,3378,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
237,229,2735,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
238,230,3163,1800.0,0.34,0.85,0.0,4.0,24,24.0,5
239,231,3568,1800.0,0.38,0.95,0.0,4.0,24,24.0,5
240,232,3183,1800.0,0.31,0.775,0.0,4.0,24,24.0,5
241,233,2912,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
242,234,2171,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
243,235,3305,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
244,236,2035,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
245,237,4650,1800.0,0.09,0.225,0.0,4.0,24,24.0,5
246,238,3262,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
247,239,3263,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
248,240,1826,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
249,241,2034,100.0,0.22,0.55,0.0,4.0,24,24.0,5
250,241,2487,100.0,0.2,0.5,0.0,4.0,24,24.0,5
251,242,1646,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
252,243,2241,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
253,244,2494,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
254,245,3264,1800.0,0.4,1.0,0.0,4.0,24,24.0,5
255,246,2552,1800.0,0.42,1.05,0.0,4.0,24,24.0,5
256,247,1675,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
257,248,2552,1800.0,0.48,1.2,0.0,4.0,24,24.0,5
258,249,1669,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
259,250,2748,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
260,251,2554,1800.0,0.08,0.2,0.0,4.0,24,24.0,5
261,252,1634,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
262,252,1679,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
263,253,2238,1800.0,0.42,1.05,0.0,4.0,24,24.0,5
264,254,1623,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
265,255,2098,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
266,256,1626,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
267,256,2556,1800.0,0.28,0.7,0.0,4.0,24,24.0,5
268,257,3425,1800.0,0.37,0.925,0.0,4.0,24,24.0,5
269,258,1659,1800.0,0.11,0.275,0.0,4.0,24,24.0,5
270,259,2779,400.0,0.25,0.625,0.0,4.0,24,24.0,5
271,259,3425,400.0,0.12,0.3,0.0,4.0,24,24.0,5
272,260,2215,1800.0,0.08,0.2,0.0,4.0,24,24.0,5
273,261,1660,1800.0,0.1,0.25,0.0,4.0,24,24.0,5
274,262,2493,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
275,263,2211,1800.0,0.33,0.825,0.0,4.0,24,24.0,5
276,264,1664,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
277,265,2553,1800.0,0.11,0.275,0.0,4.0,24,24.0,5
278,266,2440,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
279,267,2221,1800.0,0.31,0.775,0.0,4.0,24,24.0,5
280,268,3036,100.0,0.32,0.8,0.0,4.0,24,24.0,5
281,268,3264,100.0,0.66,1.65,0.0,4.0,24,24.0,5
282,269,4648,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
283,270,2219,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
284,271,2202,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
285,272,2557,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
286,273,2559,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
287,274,3382,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
288,275,2736,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
289,276,3413,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
290,277,3314,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
291,278,3315,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
292,279,2553,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
293,280,3845,1800.0,0.11,0.275,0.0,4.0,24,24.0,5
294,281,3247,1800.0,0.48,1.2,0.0,4.0,24,24.0,5
295,282,3382,1800.0,0.49,1.225,0.0,4.0,24,24.0,5
296,283,2486,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
297,284,1483,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
298,285,2207,1800.0,0.33,0.825,0.0,4.0,24,24.0,5
299,286,2975,1800.0,0.1,0.25,0.0,4.0,24,24.0,5
300,287,2975,1800.0,0.32,0.8,0.0,4.0,24,24.0,5
301,288,2974,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
302,289,3348,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
303,290,2581,1800.0,0.42,1.05,0.0,4.0,24,24.0,5
304,291,3336,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
305,292,2783,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
306,293,2782,1800.0,0.33,0.825,0.0,4.0,24,24.0,5
307,294,1486,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
308,295,2217,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
309,296,2222,1800.0,0.07,0.175,0.0,4.0,24,24.0,5
310,297,1476,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
311,298,1378,1800.0,0.39,0.975,0.0,4.0,24,24.0,5
312,299,2785,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
313,300,1480,1800.0,0.72,1.8,0.0,4.0,24,24.0,5
314,301,3342,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
315,302,3343,1800.0,0.65,1.625,0.0,4.0,24,24.0,5
316,303,3237,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
317,304,3346,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
318,305,3345,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
319,306,3347,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
320,307,2220,1800.0,0.56,1.4,0.0,4.0,24,24.0,5
321,308,3402,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
322,309,2230,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
323,310,2560,1800.0,0.31,0.775,0.0,4.0,24,24.0,5
324,311,1424,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
325,311,2683,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
326,312,2251,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
327,313,2264,1800.0,0.11,0.275,0.0,4.0,24,24.0,5
328,314,2287,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
329,315,1438,1800.0,0.07,0.175,0.0,4.0,24,24.0,5
330,316,2289,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
331,317,1439,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
332,318,1429,1800.0,0.09,0.225,0.0,4.0,24,24.0,5
333,319,3245,1800.0,0.11,0.275,0.0,4.0,24,24.0,5
334,320,2293,1800.0,0.06,0.15,0.0,4.0,24,24.0,5
335,321,2235,1800.0,0.3,0.75,0.0,4.0,24,24.0,5
336,322,2272,1800.0,0.08,0.2,0.0,4.0,24,24.0,5
337,323,2668,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
338,324,4609,1800.0,0.04,0.1,0.0,4.0,24,24.0,5
339,325,2682,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
340,326,1462,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
341,327,1464,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
342,328,2234,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
343,329,1463,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
344,330,1462,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
345,331,1462,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
346,332,2237,1800.0,0.09,0.225,0.0,4.0,24,24.0,5
347,333,2237,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
348,334,4623,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
349,335,2228,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
350,336,2250,100.0,0.08,0.2,0.0,4.0,24,24.0,5
351,336,2510,100.0,0.14,0.35,0.0,4.0,24,24.0,5
352,337,2265,1800.0,0.06,0.15,0.0,4.0,24,24.0,5
353,338,2662,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
354,339,4634,1800.0,0.07,0.175,0.0,4.0,24,24.0,5
355,340,1492,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
356,340,2509,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
357,341,2278,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
358,342,2281,1800.0,0.24,0.6,0.0,4.0,24,24.0,5
359,343,2672,1800.0,0.05,0.125,0.0,4.0,24,24.0,5
360,344,2283,1800.0,0.05,0.125,0.0,4.0,24,24.0,5
361,345,2292,1800.0,0.11,0.275,0.0,4.0,24,24.0,5
362,346,2074,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
363,347,2090,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
364,348,2297,1800.0,0.05,0.125,0.0,4.0,24,24.0,5
365,349,2291,1800.0,0.07,0.175,0.0,4.0,24,24.0,5
366,350,2296,1800.0,0.1,0.25,0.0,4.0,24,24.0,5
367,351,2028,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
368,351,2511,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
369,352,3243,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
370,352,3244,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
371,353,3713,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
372,354,2014,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
373,355,2014,1800.0,0.28,0.7,0.0,4.0,24,24.0,5
374,356,3667,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
375,357,3683,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
376,358,3514,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
377,359,3714,1800.0,0.4,1.0,0.0,4.0,24,24.0,5
378,360,2994,1800.0,0.17,0.425,0.0,4.0,24,24.0,5
379,361,2161,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
380,362,1882,1800.0,0.49,1.225,0.0,4.0,24,24.0,5
381,363,3277,1800.0,0.25,0.625,0.0,4.0,24,24.0,5
382,364,3890,1800.0,0.05,0.125,0.0,4.0,24,24.0,5
383,365,2717,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
384,366,3410,1800.0,0.13,0.325,0.0,4.0,24,24.0,5
385,367,3892,1800.0,0.14,0.35,0.0,4.0,24,24.0,5
